journal,issn,title,authors,year,volume_issue,publication_date,doi
Nature,0028-0836,Heteromeric amyloid filaments of ANXA11 and TDP-43 in FTLD-TDP type C,Diana Arseni; Takashi Nonaka; Max H Jacobsen; Alexey G Murzin; Laura Cracco; Sew Y Peak-Chew; Holly J Garringer; Ito Kawakami; Hisaomi Suzuki; Misumoto Onaya; Yuko Saito; Shigeo Murayama; Changiz Geula; Ruben Vidal; Kathy L Newell; Marsel Mesulam; Bernardino Ghetti; Masato Hasegawa; Benjamin Ryskeldi-Falcon,2024,,,10.1038/s41586-024-08024-5
Nature,0028-0836,A pathology foundation model for cancer diagnosis and prognosis prediction,,,,,
Nature,0028-0836,A two-site Kitaev chain in a two-dimensional electron gas.,Sebastiaan L D Ten Haaf; Qingzhen Wang; A Mert Bozkurt; Chun-Xiao Liu; Ivan Kulesh; Philip Kim; Di Xiao; Candice Thomas; Michael J Manfra; Tom Dvir; Michael Wimmer; Srijit Goswami,2024,,,10.1038/s41586-024-07434-9
Nature,0028-0836,Nuclear power for AI: what it will take to reopen Three Mile Island safely.,Michael Greshko,2024,,,10.1038/d41586-024-03162-2
Nature,0028-0836,This injectable gel can help to diagnose brain injury — then it disappears,Gemma Conroy,2024,,,10.1038/d41586-024-01673-6
Nature,0028-0836,Russia's war in Ukraine forces Arctic climate projects to pivot.,Alexandra Witze,2022,,,10.1038/d41586-022-01868-9
Nature,0028-0836,"The best science images of
2020.",Nisha Gaind,2020,,,10.1038/d41586-020-03436-5
Nature,0028-0836,Iron-based binary ferromagnets for transverse thermoelectric conversion,Sakai A; Chen T; Higo T; Wang Y; Miwa S; Nishio-Hamane D; Nakatsuji S; Arita R; Minami S; Ishii F; Hirayama M; Koretsune T; Nomoto T,2020,,,10.1038/s41586-020-2230-z
Nature,0028-0836,P-type electrical contacts for 2D transition-metal dichalcogenides.,Yan Wang; Jong Chan Kim; Yang Li; Kyung Yeol Ma; Seokmo Hong; Minsu Kim; Hyeon Suk Shin; Hu Young Jeong; Manish Chhowalla,2022,,,10.1038/s41586-022-05134-w
Nature,0028-0836,Exclusive: the most-cited papers of the twenty-first century.,Helen Pearson; Heidi Ledford; Matthew Hutson; Richard Van Noorden,2025,,,10.1038/d41586-025-01125-9
Nature,0028-0836,Experimental evidence for recovery of mercury-contaminated fish populations.,Paul J Blanchfield; John W M Rudd; Lee E Hrenchuk; Marc Amyot; Christopher L Babiarz; Ken G Beaty; R A Drew Bodaly; Brian A Branfireun; Cynthia C Gilmour; Jennifer A Graydon; Britt D Hall; Reed C Harris; Andrew Heyes; Holger Hintelmann; James P Hurley; Carol A Kelly; David P Krabbenhoft; Steve E Lindberg; Robert P Mason,2022,,,10.1038/s41586-021-04222-7
Nature,0028-0836,Spatial scale and the synchrony of ecological disruption.,Robert K Colwell,2021,,,
Nature,0028-0836,Mechanism of an intramembrane chaperone for multipass membrane proteins,Luka Smalinskaitė; Min Kyung Kim; Aaron J O Lewis; Robert J Keenan; Ramanujan S Hegde,2022,v611 n7934 (20221019): 161-166,2022-10-19,10.1038/s41586-022-05336-2
Nature,0028-0836,US visa changes leave postdocs like us in limbo,M Arslan Ahmed; Amir H Behbahani; Adrian Brückner; Caroline J Charpentier; Livia H Morais; Stewart Mallory; Allan-Hermann Pool,2020,v583 n7815 (20200707): 202,2020-07-07,10.1038/d41586-020-02027-8
Nature,0028-0836,An optical lattice with sound,Yudan Guo; Ronen M Kroeze; Brendan P Marsh; Sarang Gopalakrishnan; Jonathan Keeling; Benjamin L Lev,2021,v599 n7884 (20211110): 211-215,2021-11-10,10.1038/s41586-021-03945-x
Nature,0028-0836,The Israel-Hamas conflict one year on: researcher resilience in the face of war.,Josie Glausiusz,2024,,,10.1038/d41586-024-03263-y
Nature,0028-0836,Pattern formation by turbulent cascades,Xander M de Wit; Michel Fruchart; Tali Khain; Federico Toschi; Vincenzo Vitelli,2024,v627 n8004 (20240321): 515-521,2024-03-21,10.1038/s41586-024-07074-z
Nature,0028-0836,Publisher Correction: Landfalling hurricane track modes and decay.,Kelvin T F Chan; Kailin Zhang; Yue Wu; Johnny C L Chan,2022,,,10.1038/s41586-022-05078-1
Nature,0028-0836,Daily briefing: Health researchers report pressure to suppress results,Flora Graham,2021,,,10.1038/d41586-021-02296-x
Nature,0028-0836,Flies use blood cells to take a deep breath.,Stefan Luschnig,2024,,,10.1038/d41586-024-01649-6
Nature,0028-0836,"Autoimmunity in Down’s syndrome via cytokines, CD4 T cells and CD11c+ B cells",Louise Malle; Roosheel S Patel; Marta Martin-Fernandez; O Jay Stewart; Quentin Philippot; Sofija Buta; Ashley Richardson; Vanessa Barcessat; Justin Taft; Paul Bastard; Julie Samuels; Clotilde Mircher; Anne-Sophie Rebillat; Louise Maillebouis; Marie Vilaire-Meunier; Kevin Tuballes; Brad R Rosenberg; Rebecca Trachtman; Jean-Laurent Casanova,2023,v615 n7951 (20230309): 305-314,2023-03-09,10.1038/s41586-023-05736-y
Nature,0028-0836,I track the movements of the mysterious storm bird.,Alexia Austin,2024,,,
Nature,0028-0836,Video: The quantum world of diamonds,,2021,,,10.1038/d41586-021-00744-2
Nature,0028-0836,Author Correction: Ongoing declines for the world's amphibians in the face of emerging threats.,Jennifer A Luedtke; Janice Chanson; Kelsey Neam; Louise Hobin; Adriano O Maciel; Alessandro Catenazzi; Amaël Borzée; Amir Hamidy; Anchalee Aowphol; Anderson Jean; Ángel Sosa-Bartuano; Ansel Fong G; Anslem de Silva; Antoine Fouquet; Ariadne Angulo; Artem A Kidov; Arturo Muñoz Saravia; Arvin C Diesmos; Atsushi Tominaga; Biraj Shrestha,2024,,,10.1038/s41586-023-06851-6
Nature,0028-0836,Give research into solar geoengineering a chance.,,2021,,,10.1038/d41586-021-01243-0
Nature,0028-0836,How to make academic hiring fair: database lists innovative policies,Brian Owens,2024,,,10.1038/d41586-024-00273-8
Nature,0028-0836,What Trump's flurry of executive orders means for science.,Dan Garisto; Max Kozlov; Jeff Tollefson,2025,,,10.1038/d41586-025-00197-x
Nature,0028-0836,How the COVID-19 pandemic might age us,Emily Sohn,2022,v601 n7893 (20220120): S5-S7,2022-01-20,10.1038/d41586-022-00071-0
Nature,0028-0836,Small-molecule inhibitors of human mitochondrial DNA transcription.,Nina A Bonekamp; Bradley Peter; Hauke S Hillen; Andrea Felser; Tim Bergbrede; Axel Choidas; Moritz Horn; Anke Unger; Raffaella Di Lucrezia; Ilian Atanassov; Xinping Li; Uwe Koch; Sascha Menninger; Joanna Boros; Peter Habenberger; Patrick Giavalisco; Patrick Cramer; Martin S Denzel; Peter Nussbaumer; Bert Klebl; Maria Falkenberg,2020,,,10.1038/s41586-020-03048-z
Nature,0028-0836,How 'green' electricity from wood harms the planet - and people.,Melba Newsome,2024,,,10.1038/d41586-024-02676-z
Nature,0028-0836,Lab heads: how have your minority ethnic trainees fared?,Devang Mehta,2020,v582 n7812 (20200611): 341,2020-06-11,10.1038/d41586-020-01760-4
Nature,0028-0836,A catalytically active oscillator made from small organic molecules.,,,,,
Nature,0028-0836,Why a meat-free diet boosts health: protein levels might hit the spot,,2021,v595 n7868 (20210715): 475,2021-07-15,10.1038/d41586-021-01934-8
Nature,0028-0836,University of Cape Town’s battle to tackle a racist legacy,Linda Nordling,2021,v593 n7859 (20210518): 465-467,2021-05-18,10.1038/d41586-021-01321-3
Nature,0028-0836,Democratizing the mapping of gene mutations to protein biophysics.,Debora S Marks; Stephen W Michnick,2022,,,10.1038/d41586-022-00870-5
Nature,0028-0836,Triple-threat team of black holes lurks at a galaxy’s core,,2020,v579 n7797 (20200305): 11,2020-03-05,10.1038/d41586-020-00553-z
Nature,0028-0836,Tips for managing an industry move without your academic supervisor's support.,Amy DePaul,2021,,,10.1038/d41586-021-02999-1
Nature,0028-0836,The fungus that entices male flies to mate with female corpses,,2022,v608 n7922 (20220811): 242,2022-08-11,10.1038/d41586-022-02027-w
Nature,0028-0836,Photoenzymatic enantioselective intermolecular radical hydroalkylation,"Xiaoqiang Huang; Binju Wang; Yajie Wang; Guangde Jiang; Jianqiang Feng; Huimin Zhao; Center for Advanced Bioenergy and Bioproducts Innovation (CABBI), Urbana, IL (United States); Univ. of Illinois at Urbana-Champaign, IL (United States)",2020,,,10.1038/s41586-020-2406-6
Nature,0028-0836,Speedy catapulting saves spiders from predators: their mates,,2022,v605 n7908 (20220425): 10,2022-04-25,10.1038/d41586-022-01134-y
Nature,0028-0836,Extreme Arctic waves set to hit new heights,,2020,v583 n7817 (20200723): 495,2020-07-23,10.1038/d41586-020-02104-y
Nature,0028-0836,Sticky logic programs bacteria to form multicellular patterns.,Luis Ángel Fernández,2022,,,
Nature,0028-0836,Bioengineered ‘mini-colons’ shed light on cancer progression,Nicolò Riggi; Felipe de Sousa e Melo,2024,v629 n8011 (20240509): 292-293,2024-05-09,10.1038/d41586-024-01018-3
Nature,0028-0836,"Strong, flexible 'nylon' made by engineered bacteria for the first time.",Felicity Nelson,2025,,,10.1038/d41586-025-00819-4
Nature,0028-0836,Electrically driven organic laser using integrated OLED pumping.,Kou Yoshida; Junyi Gong; Alexander L Kanibolotsky; Peter J Skabara; Graham A Turnbull; Ifor D W Samuel,2023,,,10.1038/s41586-023-06488-5
Nature,0028-0836,"Technologies to watch in
2020.",Esther Landhuis,2020,,,10.1038/d41586-020-00114-4
Nature,0028-0836,H-bonded organic frameworks as ultrasound-programmable delivery platform,Wenliang Wang; Yanshu Shi; Wenrui Chai; Kai Wing Kevin Tang; Ilya Pyatnitskiy; Yi Xie; Xiangping Liu; Weilong He; Jinmo Jeong; Ju-Chun Hsieh; Anakaren Romero Lozano; Brinkley Artman; Xi Shi; Nicole Hoefer; Binita Shrestha; Noah B Stern; Wei Zhou; David W McComb; Tyrone Porter; Graeme Henkelman; Banglin Chen; Huiliang Wang,2025,v638 n8050 (20250213): 401-410,2025-02-13,10.1038/s41586-024-08401-0
Nature,0028-0836,Anti-SARS-CoV-2 receptor-binding domain antibody evolution after mRNA vaccination,Alice Cho; Frauke Muecksch; Dennis Schaefer-Babajew; Zijun Wang; Shlomo Finkin; Christian Gaebler; Victor Ramos; Melissa Cipolla; Pilar Mendoza; Marianna Agudelo; Eva Bednarski; Justin DaSilva; Irina Shimeliovich; Juan Dizon; Mridushi Daga; Katrina G Millard; Martina Turroja; Fabian Schmidt; Fengwen Zhang; Tarek Ben Tanfous,2021,v600 n7889 (20211007): 517-522,2021-10-07,10.1038/s41586-021-04060-7
Nature,0028-0836,Recurrent interactions in local cortical circuits,Simon Peron; Ravi Pancholi; Bettina Voelcker; Jason D Wittenbach; H Freyja Ólafsdóttir; Jeremy Freeman; Karel Svoboda,2020,v579 n7798 (20200312): 256-259,2020-03-12,10.1038/s41586-020-2062-x
Nature,0028-0836,Tumours block protective muscle and nerve signals to cause cachexia,Teresa A Zimmers,2021,v598 n7879 (20210921): 37-38,2021-09-21,10.1038/d41586-021-02492-9
Nature,0028-0836,Primordial black holes are too scarce to explain dark matter.,Eamonn Kerins,2024,,,10.1038/d41586-024-02526-y
Nature,0028-0836,Community power could boost confidence in vaccination programmes.,Renee C Wurth; Herman Saksono,2021,,,
Nature,0028-0836,Unconventional magnons in collinear magnets dictated by spin space groups.,Xiaobing Chen; Yuntian Liu; Pengfei Liu; Yutong Yu; Jun Ren; Jiayu Li; Ao Zhang; Qihang Liu,2025,,,10.1038/s41586-025-08715-7
Nature,0028-0836,Antigen-presenting innate lymphoid cells orchestrate neuroinflammation,John B Grigg; Arthi Shanmugavadivu; Tommy Regen; Christopher N Parkhurst; Anees Ahmed; Ann M Joseph; Michael Mazzucco; Konrad Gronke; Andreas Diefenbach; Gerard Eberl; Timothy Vartanian; Ari Waisman; Gregory F Sonnenberg,2021,v600 n7890 (20211223): 707-712,2021-12-23,10.1038/s41586-021-04136-4
Nature,0028-0836,Rescue Brazil’s burning Pantanal wetlands,Renata Libonati; Carlos C DaCamara; Leonardo F Peres; Lino A Sander de Carvalho; Letícia C Garcia,2020,v588 n7837 (20201210): 217-219,2020-12-10,10.1038/d41586-020-03464-1
Nature,0028-0836,US gun policies: what researchers know about their effectiveness.,Lynne Peeples,2022,,,10.1038/d41586-022-01791-z
Nature,0028-0836,"Rising stars in life sciences
2020.",Bec Crew; Hepeng Jia; Mark Zastrow,2020,,,10.1038/d41586-020-01234-7
Nature,0028-0836,Shark researcher attacks lack of diversity in marine science,Virginia Gewin,2022,v606 n7915 (20220622): 832,2022-06-22,10.1038/d41586-022-01685-0
Nature,0028-0836,Late Cretaceous neornithine from Europe illuminates the origins of crown birds,Daniel J Field; Juan Benito; Albert Chen; John W M Jagt; Daniel T Ksepka,2020,v579 n7799 (20200318): 397-401,2020-03-18,10.1038/s41586-020-2096-0
Nature,0028-0836,NORAD-induced PUMILIO phase separation is required for genome stability,Mahmoud M Elguindy; Joshua T Mendell,2021,,,10.1038/s41586-021-03633-w
Nature,0028-0836,Ultracold field-linked tetratomic molecules,Xing-Yan Chen; Shrestha Biswas; Sebastian Eppelt; Andreas Schindewolf; Fulin Deng; Tao Shi; Su Yi; Timon A Hilker; Immanuel Bloch; Xin-Yu Luo,2024,,,10.1038/s41586-023-06986-6
Nature,0028-0836,Extending the spectrum of fully integrated photonics to submicrometre wavelengths,,,,,
Nature,0028-0836,Lymphoangiocrine signals promote cardiac growth and repair,Xiaolei Liu; Ester De la Cruz; Xiaowu Gu; Laszlo Balint; Michael Oxendine-Burns; Tamara Terrones; Wanshu Ma; Hui-Hsuan Kuo; Connor Lantz; Trisha Bansal; Edward Thorp; Paul Burridge; Zoltán Jakus; Joachim Herz; Ondine Cleaver; Miguel Torres; Guillermo Oliver,2020,v588 n7839 (20201224): 705-711,2020-12-24,10.1038/s41586-020-2998-x
Nature,0028-0836,Did pangolins spread the China coronavirus to people?,David Cyranoski,2020,,,10.1038/d41586-020-00364-2
Nature,0028-0836,COVID vaccination logistics: five steps to take now.,Yot Teerawattananon; Saudamini Vishwanath Dabak,2020,,,10.1038/d41586-020-03134-2
Nature,0028-0836,Physicists in China challenge Google’s ‘quantum advantage’,Philip Ball,2020,v588 n7838 (20201217): 380,2020-12-17,10.1038/d41586-020-03434-7
Nature,0028-0836,France's research mega-campus faces leadership crisis.,Barbara Casassus,2024,,,10.1038/d41586-024-01319-7
Nature,0028-0836,Nature's Take: what's next for the preprint revolution.,Nick Petrić Howe; Elizabeth Gibney; Ehsan Masood; Zoltan Fehervari,2022,,,10.1038/d41586-022-01985-5
Nature,0028-0836,US president-elect Joe Biden must quickly restore science to government,,2020,,,10.1038/d41586-020-03081-y
Nature,0028-0836,A microscopy technique that images single reaction events in total darkness,Frédéric Kanoufi; Neso Sojic,2021,v596 n7871 (20210812): 194-195,2021-08-12,10.1038/d41586-021-02098-1
Nature,0028-0836,Exaptation of ancestral cell-identity networks enables C4 photosynthesis.,Joseph Swift; Leonie H Luginbuehl; Lei Hua; Tina B Schreier; Ruth M Donald; Susan Stanley; Na Wang; Travis A Lee; Joseph R Nery; Joseph R Ecker; Julian M Hibberd,2024,,,10.1038/s41586-024-08204-3
Nature,0028-0836,How quickly can Iran make a nuclear bomb?,Davide Castelvecchi,2020,,,
Nature,0028-0836,Is this Nefertiti’s tomb? Radar clues reignite debate over hidden chambers,Jo Marchant,2020,v578 n7796 (20200219): 497-498,2020-02-19,10.1038/d41586-020-00465-y
Nature,0028-0836,A base-pair view of interactions between genes and their enhancers,Anne van Schoonhoven; Ralph Stadhouders,2021,v595 n7865 (20210609): 36-37,2021-06-09,10.1038/d41586-021-01494-x
Nature,0028-0836,Regulation of the mammalian-brain V-ATPase through ultraslow mode-switching,Eleftherios Kosmidis; Christopher G Shuttle; Julia Preobraschenski; Marcelo Ganzella; Peter J Johnson; Salome Veshaguri; Jesper Holmkvist; Mads P Møller; Orestis Marantos; Frank Marcoline; Michael Grabe; Jesper L Pedersen; Reinhard Jahn; Dimitrios Stamou,2022,v611 n7937 (20221124): 827-834,2022-11-24,10.1038/s41586-022-05472-9
Nature,0028-0836,Pet cemeteries show faith that good dogs go to heaven,,2020,v587 n7832 (20201027): 11,2020-10-27,10.1038/d41586-020-03015-8
Nature,0028-0836,FXR inhibition may protect from SARS-CoV-2 infection by reducing ACE2,Teresa Brevini; Mailis Maes; Gwilym J Webb; Binu V John; Claudia D Fuchs; Gustav Buescher; Lu Wang; Chelsea Griffiths; Marnie L Brown; William E Scott; Pehuén Pereyra-Gerber; William T H Gelson; Stephanie Brown; Scott Dillon; Daniele Muraro; Jo Sharp; Megan Neary; Helen Box; Lee Tatham; James Stewart; Paul Curley; Henry Pertinez,2023,v615 n7950 (20230302): 134-142,2023-03-02,10.1038/s41586-022-05594-0
Nature,0028-0836,"If you can't be kind in peer review, be neutral.",,2020,,,10.1038/d41586-020-03394-y
Nature,0028-0836,The conformational cycle of prestin underlies outer-hair cell electromotility,Navid Bavi; Michael David Clark; Gustavo F Contreras; Rong Shen; Bharat G Reddy; Wieslawa Milewski; Eduardo Perozo,2021,v600 n7889 (20211025): 553-558,2021-10-25,10.1038/s41586-021-04152-4
